date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-09-01,Electric Engagement,member_06,32430.0,11280.0,21150.0
2035-09-01,Electric Engagement,member_12,32430.0,11280.0,21150.0
2035-09-01,Electric Engagement,member_13,32430.0,11280.0,21150.0
2035-09-01,Holistic Transition,member_06,32430.0,11280.0,21150.0
2035-09-01,Holistic Transition,member_12,32430.0,11280.0,21150.0
2035-09-01,Holistic Transition,member_13,32430.0,11280.0,21150.0
2035-02-12,Electric Engagement,member_12,31020.0,9870.0,21150.0
2035-02-12,Electric Engagement,member_13,31020.0,9870.0,21150.0
2035-05-01,Electric Engagement,member_06,31960.0,10810.0,21150.0
2035-02-12,Holistic Transition,member_06,31020.0,9870.0,21150.0
2035-10-17,Electric Engagement,member_13,31020.0,9870.0,21150.0
2035-02-15,Electric Engagement,member_13,31490.0,10340.0,21150.0
2035-05-23,Holistic Transition,member_12,31490.0,10340.0,21150.0
2035-09-27,Electric Engagement,member_13,32430.0,11280.0,21150.0
2035-03-03,Holistic Transition,member_06,32430.0,11280.0,21150.0
2035-03-03,Electric Engagement,member_06,32430.0,11280.0,21150.0
2035-03-03,Holistic Transition,member_13,32430.0,11280.0,21150.0
2035-09-27,Electric Engagement,member_06,32430.0,11280.0,21150.0
2035-09-27,Electric Engagement,member_12,32430.0,11280.0,21150.0
2035-12-21,Holistic Transition,member_12,31960.0,10810.0,21150.0
2035-09-27,Holistic Transition,member_06,32430.0,11280.0,21150.0
2035-03-03,Electric Engagement,member_13,32430.0,11280.0,21150.0
2035-09-27,Holistic Transition,member_12,32430.0,11280.0,21150.0
2035-09-27,Holistic Transition,member_13,32430.0,11280.0,21150.0
2035-02-20,Holistic Transition,member_13,32430.0,11280.0,21150.0
2035-02-20,Holistic Transition,member_12,32430.0,11280.0,21150.0
2035-02-20,Holistic Transition,member_06,32430.0,11280.0,21150.0
2035-02-20,Electric Engagement,member_13,32430.0,11280.0,21150.0
2035-03-03,Electric Engagement,member_12,32430.0,11280.0,21150.0
2035-10-31,Electric Engagement,member_12,31465.0,10340.0,21125.0
2035-10-14,Holistic Transition,member_13,31896.658,10810.0,21086.658
2035-12-21,Electric Engagement,member_12,31885.594,10810.0,21075.594
2035-07-23,Holistic Transition,member_12,32313.51,11280.0,21033.51
2035-05-20,Electric Engagement,member_06,32303.566,11280.0,21023.566
2035-08-02,Electric Engagement,member_13,32277.422,11280.0,20997.422
2035-06-06,Electric Engagement,member_06,32217.32,11280.0,20937.32
2035-03-07,Holistic Transition,member_12,32118.88,11280.0,20838.88
2035-07-20,Electric Engagement,member_13,32094.795,11280.0,20814.795
